Stock 1,Stock 2,Correlation,Abs_Correlation
V,MA,0.9008575575889862,0.9008575575889862
JPM,BAC,0.8185089538059698,0.8185089538059698
AMZN,META,0.7385778334841329,0.7385778334841329
MSFT,META,0.6717868184102185,0.6717868184102185
MSFT,AMZN,0.6709441920308741,0.6709441920308741
JPM,V,0.6321580807310809,0.6321580807310809
MSFT,NVDA,0.6298152602514846,0.6298152602514846
BAC,DIS,0.6273516253718165,0.6273516253718165
JPM,MA,0.6108782632027627,0.6108782632027627
GOOGL,AMZN,0.5981257774459321,0.5981257774459321
MA,BAC,0.5966171551240889,0.5966171551240889
JPM,DIS,0.5939997782521911,0.5939997782521911
AMZN,NVDA,0.5903205904634569,0.5903205904634569
AAPL,AMZN,0.5851107076057278,0.5851107076057278
V,BAC,0.5835857859251382,0.5835857859251382
META,NVDA,0.5752420220773475,0.5752420220773475
MA,DIS,0.5627133467529294,0.5627133467529294
AMZN,CRM,0.5434359053498378,0.5434359053498378
AMZN,JPM,0.543417399459392,0.543417399459392
V,DIS,0.5428979259073973,0.5428979259073973
AAPL,META,0.5318810797980337,0.5318810797980337
AMZN,BAC,0.5236377287172053,0.5236377287172053
AAPL,MSFT,0.5173290243089996,0.5173290243089996
AAPL,MA,0.51478814161385,0.51478814161385
GOOGL,META,0.5132478475418544,0.5132478475418544
MSFT,GOOGL,0.5063159887093407,0.5063159887093407
AAPL,DIS,0.5062655282881454,0.5062655282881454
META,DIS,0.5043844251856908,0.5043844251856908
AAPL,BAC,0.5041459259381437,0.5041459259381437
AAPL,V,0.5006035981105557,0.5006035981105557
WMT,MA,0.4970665175016391,0.4970665175016391
AAPL,GOOGL,0.4912418587341773,0.4912418587341773
AMZN,DIS,0.49033395360510396,0.49033395360510396
META,BAC,0.48207718610522393,0.48207718610522393
META,CRM,0.48162729218702194,0.48162729218702194
MSFT,JPM,0.4811218840948638,0.4811218840948638
MSFT,NFLX,0.4809526356418975,0.4809526356418975
GOOGL,NVDA,0.47480844827948443,0.47480844827948443
NVDA,NFLX,0.4712122934060967,0.4712122934060967
MSFT,CRM,0.46997079273147924,0.46997079273147924
META,NFLX,0.4698283906876002,0.4698283906876002
WMT,HD,0.4667618072466584,0.4667618072466584
META,JPM,0.46555511244278913,0.46555511244278913
V,WMT,0.4639422921033711,0.4639422921033711
META,MA,0.4637100430909631,0.4637100430909631
AAPL,JPM,0.45981740879884775,0.45981740879884775
AMZN,MA,0.4562164124615523,0.4562164124615523
AAPL,HD,0.45163633680791043,0.45163633680791043
AMZN,NFLX,0.44966785735001874,0.44966785735001874
AAPL,CRM,0.4479064877904267,0.4479064877904267
NVDA,JPM,0.4466441219451271,0.4466441219451271
MA,HD,0.44632324513633503,0.44632324513633503
AMZN,V,0.44109346183733433,0.44109346183733433
AAPL,WMT,0.44061118440099406,0.44061118440099406
AAPL,NVDA,0.43746760821515557,0.43746760821515557
V,HD,0.4236396540003522,0.4236396540003522
JPM,CRM,0.42248095511544753,0.42248095511544753
NVDA,CRM,0.4204529944791673,0.4204529944791673
HD,DIS,0.41826752398468486,0.41826752398468486
MSFT,MA,0.4176851921547381,0.4176851921547381
WMT,BAC,0.41734447543065123,0.41734447543065123
V,NFLX,0.41703608948719406,0.41703608948719406
MA,CRM,0.4163534120615836,0.4163534120615836
CRM,NFLX,0.4098472049276245,0.4098472049276245
BAC,CRM,0.4081458619754684,0.4081458619754684
DIS,CRM,0.40722015279204754,0.40722015279204754
MSFT,BAC,0.40681490220394406,0.40681490220394406
JPM,WMT,0.40597906755986096,0.40597906755986096
V,CRM,0.40585141031193817,0.40585141031193817
MA,NFLX,0.39994093991749313,0.39994093991749313
META,V,0.3977618287528528,0.3977618287528528
JPM,NFLX,0.3950821337559004,0.3950821337559004
GOOGL,JPM,0.39441550473623344,0.39441550473623344
HD,BAC,0.3909272897624826,0.3909272897624826
MSFT,DIS,0.3885886505342711,0.3885886505342711
NVDA,BAC,0.38829464789940776,0.38829464789940776
BAC,NFLX,0.37952098783523935,0.37952098783523935
GOOGL,CRM,0.3771480698499754,0.3771480698499754
META,WMT,0.37389702318486473,0.37389702318486473
NVDA,DIS,0.37311755429893534,0.37311755429893534
DIS,NFLX,0.37014100711840725,0.37014100711840725
META,HD,0.3695675970229597,0.3695675970229597
WMT,NFLX,0.3681855285127067,0.3681855285127067
MSFT,V,0.36412094307790627,0.36412094307790627
GOOGL,BAC,0.36177587563262104,0.36177587563262104
AAPL,NFLX,0.3576804186797482,0.3576804186797482
AMZN,WMT,0.3503688056145537,0.3503688056145537
WMT,DIS,0.3458806704735334,0.3458806704735334
HD,CRM,0.345082608424996,0.345082608424996
AMZN,HD,0.34493782407863777,0.34493782407863777
GOOGL,V,0.3445512909877486,0.3445512909877486
MSFT,WMT,0.3385271833868591,0.3385271833868591
GOOGL,MA,0.3239052440470736,0.3239052440470736
GOOGL,NFLX,0.32379546645144264,0.32379546645144264
JPM,HD,0.30752810312799694,0.30752810312799694
NVDA,V,0.29972681824963227,0.29972681824963227
NVDA,MA,0.27951172157300763,0.27951172157300763
V,JNJ,0.27229252176097646,0.27229252176097646
JNJ,MA,0.2640807069464645,0.2640807069464645
GOOGL,DIS,0.26166340920037756,0.26166340920037756
NVDA,JNJ,-0.2585204564962659,0.2585204564962659
WMT,CRM,0.25754728929785686,0.25754728929785686
JNJ,HD,0.2428070396063224,0.2428070396063224
MSFT,HD,0.2297703862838014,0.2297703862838014
GOOGL,WMT,0.2269314736341197,0.2269314736341197
GOOGL,HD,0.21934670266194825,0.21934670266194825
NVDA,WMT,0.19790073898755284,0.19790073898755284
V,UNH,0.17340828550018292,0.17340828550018292
AMZN,JNJ,-0.1715389818589547,0.1715389818589547
META,JNJ,-0.1713798844159596,0.1713798844159596
NVDA,HD,0.16412773650749166,0.16412773650749166
UNH,CRM,0.15949253804450572,0.15949253804450572
MSFT,JNJ,-0.14960930645869938,0.14960930645869938
JNJ,DIS,0.14001896737791836,0.14001896737791836
HD,NFLX,0.13583608049007412,0.13583608049007412
GOOGL,JNJ,-0.1330800081970071,0.1330800081970071
JNJ,UNH,0.12412191571990425,0.12412191571990425
WMT,JNJ,0.11078668570032268,0.11078668570032268
JNJ,NFLX,-0.09962269100701242,0.09962269100701242
MA,UNH,0.098529560787239,0.098529560787239
GOOGL,UNH,0.09501918444594806,0.09501918444594806
JPM,JNJ,0.08092932402342923,0.08092932402342923
AMZN,UNH,0.07957995012901051,0.07957995012901051
AAPL,JNJ,0.0753018451325633,0.0753018451325633
UNH,BAC,0.07273969693739597,0.07273969693739597
JPM,UNH,0.07000835115206222,0.07000835115206222
UNH,HD,0.0572083634838322,0.0572083634838322
JNJ,CRM,-0.05605864613701374,0.05605864613701374
UNH,NFLX,-0.03971662123709844,0.03971662123709844
WMT,UNH,0.039402453513087576,0.039402453513087576
JNJ,BAC,0.03586200718733635,0.03586200718733635
AAPL,UNH,0.034395660871580476,0.034395660871580476
MSFT,UNH,0.02551697492439452,0.02551697492439452
NVDA,UNH,0.02100782165028137,0.02100782165028137
UNH,DIS,0.01509137035236585,0.01509137035236585
META,UNH,0.011263951860153864,0.011263951860153864
